Port Route,Period Start,Period End,Arrive Depart,AM/PM/Night,Traffic Total, HAUL
111,,,1,0,91315,E
121,,,1,0,0,E
131,,,1,0,0,E
141,,,1,0,0,E
181,,,1,0,51306,E
